"","sat","tothrs","hsize","hsrank","colgpa","athlete","female","white","black"
"1",920,67,0.1,4,2.04,"TRUE","TRUE","FALSE","FALSE"
"2",1170,46,9.4,191,4,"FALSE","FALSE","TRUE","FALSE"
"3",810,42,1.19,42,1.78,"TRUE","FALSE","TRUE","FALSE"
"4",940,64,5.71,252,2.4200001,"FALSE","FALSE","TRUE","FALSE"
"5",1180,46,2.14,86,2.6099999,"FALSE","FALSE","TRUE","FALSE"
"6",980,16,2.68,41,3.03,"FALSE","TRUE","TRUE","FALSE"
"7",880,103,3.11,161,1.84,"FALSE","FALSE","FALSE","FALSE"
"8",980,79,2.68,101,3.05,"FALSE","FALSE","TRUE","FALSE"
"9",1240,46,3.67,161,3,"FALSE","FALSE","TRUE","FALSE"
"10",1230,45,0.1,3,2,"FALSE","FALSE","TRUE","FALSE"
"11",1140,103,3.34,95,2.98,"FALSE","TRUE","TRUE","FALSE"
"12",1150,67,3.59,13,2.9300001,"FALSE","TRUE","TRUE","FALSE"
"13",1080,45,3.18,31,2,"TRUE","FALSE","TRUE","FALSE"
"14",990,88,1.92,51,2.21,"FALSE","TRUE","TRUE","FALSE"
"15",1000,69,3.69,29,3.3299999,"FALSE","TRUE","TRUE","FALSE"
"16",1050,42,2.66,134,1.0700001,"FALSE","TRUE","TRUE","FALSE"
"17",1160,65,1.45,99,2.29,"FALSE","TRUE","TRUE","FALSE"
"18",1190,41,1.76,74,3.1500001,"FALSE","FALSE","TRUE","FALSE"
"19",1030,12,3.86,81,2.6500001,"FALSE","TRUE","TRUE","FALSE"
"20",960,7,3.83,66,2.4100001,"TRUE","FALSE","TRUE","FALSE"
"21",840,5,1.07,7,2.3900001,"FALSE","FALSE","TRUE","FALSE"
"22",920,17,2.17,65,2.6400001,"FALSE","TRUE","TRUE","FALSE"
"23",840,121,2.34,141,2.1800001,"FALSE","TRUE","TRUE","FALSE"
"24",1000,74,4.63,133,2.8399999,"FALSE","FALSE","TRUE","FALSE"
"25",1150,1,5.95,301,2.8399999,"FALSE","TRUE","TRUE","FALSE"
"26",1040,14,0.91,30,2.9300001,"FALSE","FALSE","TRUE","FALSE"
"27",970,45,4.36,41,2.29,"FALSE","TRUE","TRUE","FALSE"
"28",1200,63,8.12,209,2.3800001,"FALSE","TRUE","TRUE","FALSE"
"29",1090,20,0.6,2,3.9200001,"FALSE","TRUE","TRUE","FALSE"
"30",1340,70,3.76,130,2.23,"FALSE","FALSE","TRUE","FALSE"
"31",740,33,5.32,390,1.33,"FALSE","TRUE","TRUE","FALSE"
"32",880,110,3.8,71,2.8099999,"FALSE","FALSE","TRUE","FALSE"
"33",820,66,2.28,155,2.0899999,"TRUE","FALSE","TRUE","FALSE"
"34",1060,67,5.51,248,2.25,"FALSE","FALSE","TRUE","FALSE"
"35",730,74,4.82,273,1.9,"TRUE","FALSE","FALSE","TRUE"
"36",820,44,3.9,102,3,"FALSE","TRUE","TRUE","FALSE"
"37",780,96,0.78,17,2.4000001,"TRUE","FALSE","TRUE","FALSE"
"38",1040,103,4.92,92,2.1600001,"FALSE","FALSE","TRUE","FALSE"
"39",870,41,1.86,86,2.0699999,"FALSE","TRUE","TRUE","FALSE"
"40",940,47,1.85,41,2.4300001,"FALSE","FALSE","TRUE","FALSE"
"41",980,71,1.52,45,2,"TRUE","FALSE","FALSE","TRUE"
"42",1020,4,0.1,2,2.9100001,"FALSE","TRUE","TRUE","FALSE"
"43",1180,6,6.37,255,3,"TRUE","FALSE","TRUE","FALSE"
"44",1100,97,0.12,2,2.72,"FALSE","FALSE","TRUE","FALSE"
"45",1030,46,2.52,27,3.55,"FALSE","FALSE","TRUE","FALSE"
"46",960,44,0.1,5,3.25,"FALSE","TRUE","TRUE","FALSE"
"47",910,43,1.27,28,2.8599999,"FALSE","FALSE","TRUE","FALSE"
"48",1060,66,0.13,1,2.04,"FALSE","FALSE","TRUE","FALSE"
"49",880,42,0.03,1,1.92,"FALSE","TRUE","TRUE","FALSE"
"50",1010,45,0.28,2,3.5799999,"FALSE","TRUE","TRUE","FALSE"
"51",700,62,0.32,22,2.3900001,"TRUE","FALSE","TRUE","FALSE"
"52",930,43,3.72,67,3.46,"FALSE","TRUE","TRUE","FALSE"
"53",900,46,2.54,69,3.1600001,"FALSE","FALSE","TRUE","FALSE"
"54",1090,54,2.02,121,1.03,"FALSE","FALSE","TRUE","FALSE"
"55",1120,104,4.7,78,3,"FALSE","TRUE","FALSE","FALSE"
"56",960,43,4.47,320,2.3299999,"TRUE","FALSE","FALSE","TRUE"
"57",890,61,1.24,50,2.45,"TRUE","FALSE","TRUE","FALSE"
"58",1240,71,5.37,31,3.6500001,"FALSE","FALSE","TRUE","FALSE"
"59",1090,15,3.64,50,3.6099999,"FALSE","TRUE","TRUE","FALSE"
"60",820,71,6.34,68,3.25,"FALSE","TRUE","TRUE","FALSE"
"61",940,44,3.42,53,3.8099999,"FALSE","FALSE","TRUE","FALSE"
"62",820,64,5.71,344,2.25,"TRUE","FALSE","FALSE","FALSE"
"63",970,63,5.66,83,2.4100001,"TRUE","FALSE","TRUE","FALSE"
"64",790,45,5.97,72,2.8199999,"TRUE","FALSE","TRUE","FALSE"
"65",1080,41,0.1,7,2.3,"FALSE","TRUE","TRUE","FALSE"
"66",850,72,3.1,54,3.27,"FALSE","TRUE","TRUE","FALSE"
"67",850,43,0.73,5,2.6600001,"TRUE","TRUE","TRUE","FALSE"
"68",820,120,1.31,98,2.26,"TRUE","FALSE","TRUE","FALSE"
"69",1120,33,4.88,20,2.3299999,"TRUE","FALSE","TRUE","FALSE"
"70",880,67,4.07,70,2.3699999,"TRUE","TRUE","TRUE","FALSE"
"71",1540,110,2.3,1,4,"FALSE","FALSE","TRUE","FALSE"
"72",780,111,3.47,38,3.8099999,"FALSE","FALSE","TRUE","FALSE"
"73",1280,79,2.03,3,3.8699999,"FALSE","TRUE","TRUE","FALSE"
"74",1260,41,2.17,5,4,"FALSE","TRUE","TRUE","FALSE"
"75",830,108,2,84,1.95,"TRUE","FALSE","FALSE","TRUE"
"76",980,44,0.92,28,2.4300001,"FALSE","FALSE","TRUE","FALSE"
"77",500,42,4.57,329,1.21,"TRUE","FALSE","TRUE","FALSE"
"78",1040,43,3.61,31,3,"FALSE","FALSE","TRUE","FALSE"
"79",930,33,3.25,26,1.75,"FALSE","TRUE","FALSE","FALSE"
"80",570,104,3.24,187,1.73,"TRUE","FALSE","FALSE","TRUE"
"81",820,41,3.03,147,1.84,"FALSE","TRUE","TRUE","FALSE"
"82",1310,44,4.67,122,2.25,"FALSE","FALSE","TRUE","FALSE"
"83",770,43,1,30,2.1300001,"FALSE","TRUE","FALSE","FALSE"
"84",1180,46,4.8,48,3.77,"FALSE","FALSE","TRUE","FALSE"
"85",1310,77,3.2,30,3.22,"FALSE","FALSE","TRUE","FALSE"
"86",1150,87,3.02,64,2.1700001,"FALSE","FALSE","TRUE","FALSE"
"87",1130,15,1.66,33,2.77,"FALSE","FALSE","FALSE","FALSE"
"88",1110,25,2.04,9,3.3599999,"FALSE","TRUE","TRUE","FALSE"
"89",1210,44,2.93,14,3.6199999,"FALSE","FALSE","TRUE","FALSE"
"90",1090,48,1.87,6,3.7,"FALSE","TRUE","TRUE","FALSE"
"91",1040,78,3.55,82,2,"FALSE","TRUE","TRUE","FALSE"
"92",1340,106,1.11,15,3.6900001,"FALSE","TRUE","TRUE","FALSE"
"93",900,101,0.86,16,1.75,"FALSE","FALSE","TRUE","FALSE"
"94",650,76,2.06,57,2.1900001,"TRUE","FALSE","TRUE","FALSE"
"95",1190,102,4.24,26,3.4000001,"FALSE","TRUE","TRUE","FALSE"
"96",990,44,2.51,39,1.4299999,"FALSE","TRUE","TRUE","FALSE"
"97",1160,74,3.72,79,2.78,"FALSE","TRUE","TRUE","FALSE"
"98",1140,96,2.41,24,2.6099999,"TRUE","FALSE","TRUE","FALSE"
"99",1180,112,4.69,36,3.0899999,"TRUE","FALSE","TRUE","FALSE"
"100",1120,73,0.1,1,2.98,"FALSE","TRUE","TRUE","FALSE"
"101",1010,43,3.19,157,1.9299999,"FALSE","TRUE","TRUE","FALSE"
"102",1160,15,4.02,15,2.8800001,"FALSE","FALSE","TRUE","FALSE"
"103",1200,44,4.32,209,3.3099999,"FALSE","TRUE","TRUE","FALSE"
"104",720,44,4.3,230,1.9299999,"TRUE","TRUE","FALSE","FALSE"
"105",1190,60,2.61,97,2.4100001,"FALSE","FALSE","TRUE","FALSE"
"106",970,42,3.41,116,2.9200001,"FALSE","TRUE","TRUE","FALSE"
"107",1210,45,5.11,1,3.52,"FALSE","TRUE","TRUE","FALSE"
"108",930,73,2,65,2.9300001,"FALSE","FALSE","TRUE","FALSE"
"109",1000,99,2.36,75,2.28,"FALSE","FALSE","TRUE","FALSE"
"110",970,66,4.33,130,1.95,"FALSE","FALSE","TRUE","FALSE"
"111",960,69,0.1,3,3.02,"TRUE","TRUE","TRUE","FALSE"
"112",980,71,0.1,4,3.25,"FALSE","FALSE","TRUE","FALSE"
"113",960,20,2.26,96,3.3199999,"FALSE","FALSE","TRUE","FALSE"
"114",970,104,0.1,3,2.03,"TRUE","FALSE","TRUE","FALSE"
"115",960,104,0.74,7,2.3399999,"FALSE","TRUE","TRUE","FALSE"
"116",1160,121,2.12,19,3.4100001,"FALSE","FALSE","TRUE","FALSE"
"117",1080,105,2.12,100,2.5599999,"FALSE","FALSE","TRUE","FALSE"
"118",990,42,3.05,3,4,"FALSE","TRUE","TRUE","FALSE"
"119",1130,46,2.35,91,1.33,"FALSE","TRUE","TRUE","FALSE"
"120",1060,33,2.35,66,2.25,"FALSE","FALSE","TRUE","FALSE"
"121",1060,43,2.35,44,2.5999999,"FALSE","TRUE","TRUE","FALSE"
"122",1120,98,2.95,15,2.6300001,"FALSE","FALSE","TRUE","FALSE"
"123",1030,45,2.78,59,2.5799999,"FALSE","FALSE","TRUE","FALSE"
"124",1070,72,3.15,99,3.04,"FALSE","FALSE","TRUE","FALSE"
"125",910,41,3.72,85,2.76,"FALSE","FALSE","TRUE","FALSE"
"126",1100,9,3.73,188,1.95,"FALSE","FALSE","TRUE","FALSE"
"127",1000,7,3.73,127,2.9200001,"FALSE","FALSE","TRUE","FALSE"
"128",1000,45,3.71,99,3.4100001,"FALSE","FALSE","TRUE","FALSE"
"129",970,70,4.1,113,2.73,"FALSE","TRUE","TRUE","FALSE"
"130",1070,59,6,62,2.54,"FALSE","FALSE","TRUE","FALSE"
"131",950,43,2.85,24,3.0599999,"FALSE","FALSE","TRUE","FALSE"
"132",1140,44,2.17,34,1.9299999,"FALSE","TRUE","TRUE","FALSE"
"133",1060,45,1.56,27,3.23,"FALSE","FALSE","TRUE","FALSE"
"134",940,74,2.51,45,2.54,"TRUE","FALSE","TRUE","FALSE"
"135",960,72,1,39,2.22,"FALSE","FALSE","TRUE","FALSE"
"136",890,5,2.1,38,1.99,"FALSE","FALSE","TRUE","FALSE"
"137",1120,65,3.28,152,1.75,"FALSE","TRUE","TRUE","FALSE"
"138",1150,42,0.1,4,3.1400001,"FALSE","FALSE","TRUE","FALSE"
"139",1270,8,0.1,4,3.24,"FALSE","FALSE","TRUE","FALSE"
"140",1100,46,0.1,4,2,"FALSE","TRUE","TRUE","FALSE"
"141",1150,42,0.1,5,2.5,"FALSE","FALSE","TRUE","FALSE"
"142",1090,43,1.5,79,1.6,"FALSE","FALSE","TRUE","FALSE"
"143",1220,12,0.1,5,3.05,"FALSE","TRUE","TRUE","FALSE"
"144",1070,3,0.1,5,2.4100001,"FALSE","FALSE","TRUE","FALSE"
"145",1030,43,1.36,4,2.73,"FALSE","TRUE","TRUE","FALSE"
"146",980,73,3.2,17,2.9300001,"FALSE","FALSE","TRUE","FALSE"
"147",930,68,2.71,40,2.5,"FALSE","TRUE","TRUE","FALSE"
"148",1030,67,3.08,62,2.6900001,"FALSE","TRUE","TRUE","FALSE"
"149",1100,96,3.06,99,2.6099999,"TRUE","FALSE","TRUE","FALSE"
"150",1100,46,3.1,28,2.9400001,"FALSE","FALSE","TRUE","FALSE"
"151",1070,74,1.78,10,3.4400001,"FALSE","FALSE","TRUE","FALSE"
"152",980,44,2.27,21,3.1199999,"FALSE","FALSE","TRUE","FALSE"
"153",1000,74,1.78,23,3.46,"FALSE","TRUE","TRUE","FALSE"
"154",1190,45,1.78,40,3.6400001,"FALSE","TRUE","TRUE","FALSE"
"155",1060,59,2.61,76,2.5699999,"FALSE","FALSE","FALSE","FALSE"
"156",1240,44,2.94,41,3.4300001,"FALSE","TRUE","TRUE","FALSE"
"157",950,17,2.12,70,2.24,"FALSE","TRUE","TRUE","FALSE"
"158",1300,66,2.61,142,2.78,"FALSE","FALSE","TRUE","FALSE"
"159",860,117,2.74,110,2.1300001,"TRUE","FALSE","TRUE","FALSE"
"160",1010,119,2.56,74,2.6900001,"FALSE","FALSE","TRUE","FALSE"
"161",1180,19,2.56,94,3.29,"FALSE","TRUE","TRUE","FALSE"
"162",1040,93,0.1,4,2.3099999,"FALSE","TRUE","TRUE","FALSE"
"163",1010,44,1.95,36,2.3099999,"FALSE","TRUE","TRUE","FALSE"
"164",1000,45,1.96,35,1.88,"FALSE","FALSE","TRUE","FALSE"
"165",1030,45,0.1,3,2.47,"FALSE","FALSE","TRUE","FALSE"
"166",1100,46,2.36,22,2.6600001,"FALSE","FALSE","TRUE","FALSE"
"167",1240,117,0.58,16,2.77,"FALSE","FALSE","TRUE","FALSE"
"168",1110,69,0.48,20,3.77,"TRUE","TRUE","TRUE","FALSE"
"169",1070,42,1.86,87,1,"FALSE","FALSE","TRUE","FALSE"
"170",1040,71,1.95,60,2.02,"FALSE","FALSE","TRUE","FALSE"
"171",1290,118,2.31,1,3.4300001,"FALSE","TRUE","TRUE","FALSE"
"172",1010,103,2.31,36,2.6900001,"FALSE","FALSE","TRUE","FALSE"
"173",1080,74,0.51,8,3.7,"FALSE","FALSE","TRUE","FALSE"
"174",1120,65,3.44,8,3.6800001,"FALSE","TRUE","TRUE","FALSE"
"175",1210,73,3.44,120,1.97,"FALSE","FALSE","TRUE","FALSE"
"176",990,44,4.01,94,2.9300001,"FALSE","TRUE","TRUE","FALSE"
"177",1130,41,1.1,64,2.23,"FALSE","FALSE","TRUE","FALSE"
"178",840,44,0.48,32,2.1199999,"TRUE","TRUE","TRUE","FALSE"
"179",1050,69,5.5,39,3.6600001,"FALSE","TRUE","TRUE","FALSE"
"180",1050,43,6.2,266,1.8,"TRUE","FALSE","TRUE","FALSE"
"181",1000,74,5.5,117,2.48,"FALSE","TRUE","TRUE","FALSE"
"182",1020,106,4.63,28,2.97,"FALSE","TRUE","TRUE","FALSE"
"183",960,72,5.5,163,1.7,"FALSE","TRUE","FALSE","FALSE"
"184",890,100,7.68,451,1.98,"TRUE","TRUE","TRUE","FALSE"
"185",1320,44,8.54,3,4,"FALSE","FALSE","TRUE","FALSE"
"186",1140,56,1.61,4,3.3699999,"FALSE","TRUE","TRUE","FALSE"
"187",1000,7,1.52,41,1.84,"FALSE","FALSE","TRUE","FALSE"
"188",1040,64,1.61,89,2.1500001,"FALSE","FALSE","TRUE","FALSE"
"189",850,22,1.79,153,1.8099999,"TRUE","FALSE","TRUE","FALSE"
"190",1050,18,6,21,3.5599999,"FALSE","TRUE","TRUE","FALSE"
"191",1140,42,2.7,16,2.0699999,"FALSE","FALSE","TRUE","FALSE"
"192",1120,98,4.63,42,2.23,"FALSE","TRUE","TRUE","FALSE"
"193",1060,29,1.52,21,3.1099999,"FALSE","TRUE","TRUE","FALSE"
"194",1090,46,6.61,159,2.72,"FALSE","FALSE","TRUE","FALSE"
"195",1080,95,0.4,21,2.1099999,"FALSE","FALSE","TRUE","FALSE"
"196",1070,72,5.12,70,2.75,"FALSE","TRUE","TRUE","FALSE"
"197",1130,46,5.84,100,3.1600001,"FALSE","FALSE","TRUE","FALSE"
"198",1410,73,3.61,19,3.6900001,"FALSE","FALSE","TRUE","FALSE"
"199",1000,22,3.93,73,2.45,"FALSE","FALSE","TRUE","FALSE"
"200",1130,68,3.61,28,3.72,"FALSE","FALSE","TRUE","FALSE"
"201",1130,66,3.61,60,2.02,"FALSE","TRUE","TRUE","FALSE"
"202",1120,82,3.53,29,3.1300001,"FALSE","TRUE","TRUE","FALSE"
"203",1180,45,2.75,4,2.76,"FALSE","FALSE","TRUE","FALSE"
"204",1020,103,5.8,22,2.8699999,"FALSE","TRUE","TRUE","FALSE"
"205",810,44,6.47,69,2.4300001,"FALSE","TRUE","TRUE","FALSE"
"206",940,43,2.34,14,3.0599999,"FALSE","TRUE","TRUE","FALSE"
"207",880,44,3.21,51,2.75,"FALSE","TRUE","TRUE","FALSE"
"208",910,76,3.86,190,2.46,"TRUE","FALSE","FALSE","TRUE"
"209",1490,7,4,1,4,"FALSE","TRUE","TRUE","FALSE"
"210",1040,78,4.35,35,3.01,"FALSE","FALSE","TRUE","FALSE"
"211",1220,79,4.35,93,3.3,"FALSE","FALSE","TRUE","FALSE"
"212",1140,71,1.59,4,3.4200001,"FALSE","TRUE","TRUE","FALSE"
"213",1170,44,5.61,89,3.4300001,"FALSE","FALSE","TRUE","FALSE"
"214",910,43,5.63,328,0.60000002,"TRUE","FALSE","TRUE","FALSE"
"215",1290,69,5.21,19,3.71,"FALSE","FALSE","TRUE","FALSE"
"216",1340,103,4.99,4,3.3800001,"FALSE","FALSE","TRUE","FALSE"
"217",1110,30,3.44,99,2.6199999,"FALSE","FALSE","TRUE","FALSE"
"218",1040,106,3.2,20,3.49,"FALSE","FALSE","TRUE","FALSE"
"219",1070,41,0.37,11,2.53,"FALSE","FALSE","TRUE","FALSE"
"220",1200,46,3.25,7,3.77,"FALSE","FALSE","TRUE","FALSE"
"221",950,115,3.4,46,2.6500001,"FALSE","FALSE","TRUE","FALSE"
"222",1110,70,0.04,2,2.6700001,"TRUE","TRUE","TRUE","FALSE"
"223",970,64,4.54,140,2.3499999,"FALSE","FALSE","TRUE","FALSE"
"224",1090,108,3.64,33,2.6700001,"FALSE","TRUE","TRUE","FALSE"
"225",960,59,3.71,110,2.05,"FALSE","TRUE","TRUE","FALSE"
"226",980,65,0.1,6,2.3099999,"FALSE","TRUE","TRUE","FALSE"
"227",1070,42,3.62,61,2.9200001,"FALSE","FALSE","TRUE","FALSE"
"228",1040,45,1.27,7,2.9400001,"FALSE","FALSE","TRUE","FALSE"
"229",1170,98,4.7,127,3.28,"TRUE","FALSE","TRUE","FALSE"
"230",1010,46,4.67,116,2.72,"FALSE","FALSE","TRUE","FALSE"
"231",1110,43,3.96,46,2.9300001,"FALSE","TRUE","TRUE","FALSE"
"232",890,43,3.96,100,2.2,"FALSE","TRUE","TRUE","FALSE"
"233",950,122,6.5,75,2.4200001,"FALSE","FALSE","TRUE","FALSE"
"234",780,42,6.54,81,2.8499999,"TRUE","TRUE","FALSE","FALSE"
"235",1230,122,3.39,13,2.1600001,"FALSE","TRUE","TRUE","FALSE"
"236",1160,46,1.94,4,3.55,"FALSE","TRUE","TRUE","FALSE"
"237",1020,65,2.52,56,2.46,"FALSE","TRUE","TRUE","FALSE"
"238",1200,109,0.1,3,2.26,"FALSE","FALSE","TRUE","FALSE"
"239",1230,70,2.68,6,3.47,"FALSE","FALSE","TRUE","FALSE"
"240",1110,32,0.1,4,2.2,"FALSE","TRUE","TRUE","FALSE"
"241",1250,62,1.15,11,2.3399999,"FALSE","FALSE","TRUE","FALSE"
"242",980,56,1.15,55,2.1800001,"FALSE","FALSE","TRUE","FALSE"
"243",1100,105,0.94,44,3.0999999,"FALSE","FALSE","TRUE","FALSE"
"244",880,62,2.54,116,2,"FALSE","FALSE","TRUE","FALSE"
"245",1050,81,3.16,8,2.9400001,"FALSE","FALSE","TRUE","FALSE"
"246",910,19,5,122,3.03,"FALSE","TRUE","TRUE","FALSE"
"247",1140,70,5.94,47,3.3199999,"FALSE","TRUE","TRUE","FALSE"
"248",990,108,5.66,8,3.1400001,"FALSE","FALSE","TRUE","FALSE"
"249",1130,66,5.94,209,2.76,"FALSE","FALSE","TRUE","FALSE"
